,year_x,week_x,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,team,team_name,total,home,away,weekly_attendance
948,2003,12,Baltimore Ravens,Seattle Seahawks,Baltimore Ravens,0,Sun,November 23,1:02PM,44,41,426,2,426,3,Ravens,Baltimore,Seahawks,Seattle,Ravens200312,Ravens2003,200312Baltimore Ravens,Baltimore,Ravens,1006929.0,556634.0,450295.0,69477.0
949,2003,12,Cleveland Browns,Pittsburgh Steelers,Pittsburgh Steelers,0,Sun,November 23,1:02PM,13,6,168,0,303,5,Browns,Cleveland,Steelers,Pittsburgh,Browns200312,Browns2003,200312Cleveland Browns,Cleveland,Browns,1139440.0,585564.0,553876.0,73658.0
950,2003,12,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,0,Sun,November 23,1:02PM,17,14,326,1,228,1,Bills,Buffalo,Colts,Indianapolis,Bills200312,Bills2003,200312Buffalo Bills,Buffalo,Bills,1152118.0,584122.0,567996.0,73004.0
951,2003,12,Dallas Cowboys,Carolina Panthers,Dallas Cowboys,0,Sun,November 23,1:02PM,24,20,319,1,244,2,Cowboys,Dallas,Panthers,Carolina,Cowboys200312,Cowboys2003,200312Dallas Cowboys,Dallas,Cowboys,1071700.0,511224.0,560476.0,63871.0
952,2003,12,Green Bay Packers,San Francisco 49ers,Green Bay Packers,0,Sun,November 23,1:02PM,20,10,379,3,192,1,Packers,Green Bay,49ers,San Francisco,Packers200312,Packers2003,200312Green Bay Packers,Green Bay,Packers,1067556.0,562819.0,504737.0,70250.0
953,2003,12,New York Jets,Jacksonville Jaguars,New York Jets,0,Sun,November 23,1:03PM,13,10,282,1,330,2,Jets,New York,Jaguars,Jacksonville,Jets200312,Jets2003,200312New York Jets,New York,Jets,1169808.0,622255.0,547553.0,77614.0
954,2003,12,Denver Broncos,Chicago Bears,Chicago Bears,0,Sun,November 23,4:05PM,19,10,217,0,365,0,Broncos,Denver,Bears,Chicago,Broncos200312,Broncos2003,200312Denver Broncos,Denver,Broncos,1134086.0,607167.0,526919.0,75540.0
955,2003,12,Arizona Cardinals,St. Louis Rams,St. Louis Rams,0,Sun,November 23,4:06PM,30,27,415,5,358,2,Cardinals,Arizona,Rams,St. Louis,Cardinals200312,Cardinals2003,200312Arizona Cardinals,Arizona,Cardinals,804401.0,288499.0,515902.0,42089.0
956,2003,12,San Diego Chargers,Cincinnati Bengals,Cincinnati Bengals,0,Sun,November 23,4:15PM,34,27,444,1,325,0,Chargers,San Diego,Bengals,Cincinnati,Chargers200312,Chargers2003,200312San Diego Chargers,San Diego,Chargers,997271.0,492165.0,505106.0,52069.0
957,2003,12,Kansas City Chiefs,Oakland Raiders,Kansas City Chiefs,0,Sun,November 23,4:15PM,27,24,384,0,379,0,Chiefs,Kansas City,Raiders,Oakland,Chiefs200312,Chiefs2003,200312Kansas City Chiefs,Kansas City,Chiefs,1163872.0,627840.0,536032.0,78889.0
958,2003,12,Atlanta Falcons,Tennessee Titans,Tennessee Titans,0,Sun,November 23,4:15PM,38,31,347,1,282,2,Falcons,Atlanta,Titans,Tennessee,Falcons200312,Falcons2003,200312Atlanta Falcons,Atlanta,Falcons,1106928.0,563676.0,543252.0,70891.0
959,2003,12,Miami Dolphins,Washington Redskins,Miami Dolphins,0,Sun,November 23,8:37PM,24,23,317,3,277,2,Dolphins,Miami,Redskins,Washington,Dolphins200312,Dolphins2003,200312Miami Dolphins,Miami,Dolphins,1158236.0,587787.0,570449.0,73578.0
960,2003,12,Tampa Bay Buccaneers,New York Giants,Tampa Bay Buccaneers,0,Mon,November 24,9:10PM,19,13,358,3,212,4,Buccaneers,Tampa Bay,Giants,New York,Buccaneers200312,Buccaneers2003,200312Tampa Bay Buccaneers,Tampa Bay,Buccaneers,1087333.0,524352.0,562981.0,65648.0
961,2003,13,Detroit Lions,Green Bay Packers,Detroit Lions,0,Thu,November 27,12:37PM,22,14,266,1,320,5,Lions,Detroit,Packers,Green Bay,Lions200313,Lions2003,200313Detroit Lions,Detroit,Lions,1045766.0,490442.0,555324.0,62123.0
962,2003,13,Dallas Cowboys,Miami Dolphins,Miami Dolphins,0,Thu,November 27,4:16PM,40,21,365,1,354,5,Cowboys,Dallas,Dolphins,Miami,Cowboys200313,Cowboys2003,200313Dallas Cowboys,Dallas,Cowboys,1071700.0,511224.0,560476.0,64110.0
963,2003,13,Indianapolis Colts,New England Patriots,New England Patriots,0,Sun,November 30,1:00PM,38,34,282,3,370,2,Colts,Indianapolis,Patriots,New England,Colts200313,Colts2003,200313Indianapolis Colts,Indianapolis,Colts,993951.0,454138.0,539813.0,57102.0
964,2003,13,Pittsburgh Steelers,Cincinnati Bengals,Cincinnati Bengals,0,Sun,November 30,1:01PM,24,20,379,0,384,2,Steelers,Pittsburgh,Bengals,Cincinnati,Steelers200313,Steelers2003,200313Pittsburgh Steelers,Pittsburgh,Steelers,1052513.0,477584.0,574929.0,58797.0
965,2003,13,Baltimore Ravens,San Francisco 49ers,Baltimore Ravens,0,Sun,November 30,1:02PM,44,6,282,2,264,4,Ravens,Baltimore,49ers,San Francisco,Ravens200313,Ravens2003,200313Baltimore Ravens,Baltimore,Ravens,1006929.0,556634.0,450295.0,69549.0
966,2003,13,St. Louis Rams,Minnesota Vikings,St. Louis Rams,0,Sun,November 30,1:02PM,48,17,396,1,465,3,Rams,St. Louis,Vikings,Minnesota,Rams200313,Rams2003,200313St. Louis Rams,St. Louis,Rams,1041463.0,528456.0,513007.0,66134.0
967,2003,13,New York Giants,Buffalo Bills,Buffalo Bills,0,Sun,November 30,1:02PM,24,7,403,0,222,1,Giants,New York,Bills,Buffalo,Giants200313,Giants2003,200313New York Giants,New York,Giants,1190530.0,628960.0,561570.0,78481.0
968,2003,13,Carolina Panthers,Philadelphia Eagles,Philadelphia Eagles,0,Sun,November 30,1:02PM,25,16,283,2,336,1,Panthers,Carolina,Eagles,Philadelphia,Panthers200313,Panthers2003,200313Carolina Panthers,Carolina,Panthers,1078988.0,582566.0,496422.0,72977.0
969,2003,13,Houston Texans,Atlanta Falcons,Houston Texans,0,Sun,November 30,1:03PM,17,13,236,1,243,1,Texans,Houston,Falcons,Atlanta,Texans200313,Texans2003,200313Houston Texans,Houston,Texans,1061690.0,563748.0,497942.0,70388.0
